Firstname,Lastname,SAM,Afdeling,Password
Jan,Schoppe,JSC,Ledelse,Password! 
Knud,Michaelsen,KMI,Administration,Password! 
Aksel,Adamsen,AAD,Administration,Password! 
Boye,Buch,BBU,Administration ,Password! 
Kenneth,Caspersen,KCA,Administration ,Password! 
Jim,Sloth,JSL,HR,Password! 
Thorbjørn,Frost,TFR,HR,Password! 
Christoffer,Johannsen,CJO ,HR,Password! 
Alex,Hartmann,AHA,HR,Password! 
Victor,Steen,VST,Revision,Password! 
Jonathan,Mørch,JMØ,Revision,Password! 
Dagmar,Jepsen,DJE,Revision,Password! 
Ulla,Abildgaard,UAB,Revision,Password! 
Ane,Olsen,AOL,Revision,Password! 
Christine,Wulff,CWU,Revision,Password! 
Stephanie,Hansen,SHA,Revision,Password! 
Lene,Lind,LLI,Revision,Password! 
Gry,Kjærgaard,GKJ,Revision,Password! 
Linette,Lange,LLA,Revision,Password! 
Pia,Antonsen,PAN,Revision,Password! 
Clara,Lassen,CLA,Revision,Password! 
Linda,Elkjær,LEL,Revision,Password! 
Asta,Kofoed,AKO,Revision,Password! 
Vibeke,Albertsen,VAL,Revision,Password! 
Gunhild,Juhl,GJU,Revision,Password! 
Susan,Christensen,SCH,Revision,Password! 
Marc,Nørgaard,MNØ,Revision,Password! 
Rune,Markussen,RMA,Revision,Password! 
Keld,Mørch,KMØ,IT,Password! 
Bjørn,Winther,BWI,IT,Password! 
Frederik,Lauritsen,FLA,IT,ITONDEMAND! 
William,Johansson,WMJ,IT,ITONDEMAND! 
Magnus,Lund-Jensen,MLU,IT,ITONDEMAND! 
